MadTree,PSA,Pale Ale,5%,Cincinnati,OH,0,0,0,,,
MadTree,PsychHOPathy,IPA,6.9%,Cincinnati,OH,0,0,0,,,
MadTree,Rubus Cacao,Stout,7%,Cincinnati,OH,0,0,0,,,
MadTree,Ye Olde Battering,Barleywine,12%,Cincinnati,OH,0,0,0,,,
Magic Hat,TFG,IPA,6.6%,Cincinnati,OH,0,0,0,,,
Magic Hat,Circus Boy,Hefeweizen,4.5%,Cincinnati,OH,0,0,0,,Pale Wheat Ale - American,4.5
Market Garden,Frosty Lime Wit,Witbier,6.2%,Cleveland,OH,0,0,0,,,
Market Garden,Nano Lager,Lager,5.2%,Cleveland,OH,0,0,0,,,
Market Garden,Chinook Strike IPA,IPA,5.5%,Cleveland,OH,0,0,0,,,
MASTHEAD,IPA,IPA,6.8%,Cleveland,OH,0,0,0,,,
MASTHEAD,Falling Fruit,Fruit beer,5.5%,Cleveland,OH,0,0,0,,,
MASTHEAD,One Trick Pony NEIPA,IPA,6.7%,Cleveland,OH,0,0,0,,,
Maui,Bikinin Blonde,Blonde,5.2%,Maui,HI,0,0,0,,,
Maui,Coconut Hiwa,Porter,6%,Maui,HI,0,0,0,,,
Maui,Double Overhead,DIPA,8.5%,Maui,HI,0,0,0,,,
Maui,Lorenzini,DIPA,8%,Maui,HI,0,1,0,,,
Maui,pineapple mana,Pale Wheat Ale,5.5%,Maui,HI,0,0,0,,,
Maumee Bay,FakeJuice,IPA,7.5%,Maumee ,OH,0,0,0,,,
Maumee Bay,Maple Total Eclipse,Stout,8.1%,Maumee ,OH,0,0,0,,,
Millersburg,BA Doc Scotch,Scotch Ale,9%,Millersburg,OH,0,1,0,,,
Millersburg,Frenchridge,IPA,7.5%,Millersburg,OH,0,0,0,,,
Millersburg,Nut house,Porter,6.3%,Millersburg,OH,0,0,0,,,
Mispillion,Reach around,IPA,6%,Milford ,DE,0,0,0,,,
Mispillion,War Kitten,Berliner,4.3%,Milford ,DE,0,0,0,,,
New Belgium,TBD,,N/A,Fort Collins,CO,1,0,0,,,
New Belgium,Fat Tire,Amber Ale,5.2%,Fort Collins,CO,0,0,0,,Red Ale - American Amber / Red,5.2
New Belgium,Juicy Haze,IPA,7.5%,Fort Collins,CO,0,0,0,,,
New Belgium,Tartastic Raspberry Lime,Berliner Weiss,4.2%,Fort Collins,CO,0,0,0,,,
New Holland,Dragons Milk,Stout,11%,Holland,MI,0,0,0,,,
New Holland,Tangerine Space Machine,IPA,6.8%,Holland,MI,0,0,0,,,
Noble Beast Brewing,Cookies and Milk,Stout,10.1%,Cleveland ,OH,0,0,0,,,
Noble Beast Brewing,Evil Motives,IPA,7%,Cleveland ,OH,0,0,0,,,
Noble Beast Brewing,Say When,Farmhouse/ Saison,6.9%,Cleveland ,OH,0,0,0,,,
North Coast,Pranqster,IPA,7%,Fort Bragg,CA,0,0,0,,,
North Coast,Steller,Black Ale,7.5%,Fort Bragg,CA,0,0,0,,,
North High,Filthy McNasty,Imperial Stout,9%,Columbus,OH,0,0,0,,,
North High,Life,Pale Ale,7.5%,Columbus,OH,0,0,0,,,
North High,Pale,Pale Ale,5.5%,Columbus,OH,0,0,0,,,
North High,Stardust,DIPA,8.8%,Columbus,OH,0,0,0,,,
ODDSIDE,APRICOT DANK JUICE,IPA,5%,Grand Haven ,MI,0,0,0,,,
ODDSIDE,DIGGITY DANK JUICE,IPA,5%,Grand Haven ,MI,0,0,0,,,
Ommegang,3 Philosopher,Quad,9.7%,Cooperstown,NY,0,1,0,,,
Ommegang,Rosetta,Flander Oud Bruin,5.6%,Cooperstown,NY,0,1,0,,,
Original Sin,Black Widow,Cider,6%,New York,NY,0,0,0,,,
Original Sin,Dry Rose,Cider,5%,New York,NY,0,0,0,,,
Oskar Blues,Dale's Pale Ale,Pale Ale,6.43%,Fort Collins,CO,1,0,0,,Pale Ale - American,6.5
Oskar Blues,Priscilla Wheat,Am. Pale Wheat Ale,5.4%,Longmont,CO,0,0,0,,,
Oskar Blues,Mama's Little Yella Pils,Pilsner,5%,Longmont,CO,0,0,0,,Pilsner - Czech,5.3
Platform Brewing,High River BA,Imperial Stout,10.2%,Cleveland,OH,1,0,0,,,
Platform Brewing,Ghost Inside (Strawberry Pear),Gose,4%,Cleveland,OH,0,0,0,,,
Platform Brewing,High Brow Barista Coffee Rye,Pale Ale,6%,Cleveland,OH,0,0,0,,,
Platform Brewing,Hubris,DIPA,10%,Cleveland,OH,0,0,0,,,
Platform Brewing,New Cleveland Palesner,Pilsner,5%,Cleveland,OH,0,0,1,,,
Platform Brewing,Passiflora,Berliner Weiss,3.8%,Cleveland,OH,0,1,0,,,
Platform Brewing,Speed Merchant White IPA,IPA,6.6%,Cleveland,OH,0,0,0,,,
Railroad brewing,13th Warrior,Hefeweizen,4.7%,Avon ,OH,0,0,0,,,
Railroad brewing,Choco Blond,Blond,5%,Avon ,OH,0,0,0,,,
Redhead Cider,Blackberry Shandy,Cider,5.2%,Berlin Heights,OH,0,0,0,,,
Redhead Cider,Hot Chick,Cider,6%,Berlin Heights,OH,0,0,0,,,
Revolution,Amirillo Hero,IPA,6%,Chicago,IL,0,0,0,,,
