Devil's Backbone,Southern Passion,Red Lager,5.4%,Roseland,VA,0,0,0,,
Devil's Backbone,Black Lager,Schwarzbier,5.1%,Roseland,VA,0,0,0,,
Elysian,Super Fuzz,IPA,6.4%,Seattle,WA,0,0,0,,
Elysian,Space Dust,Double IPA,8.2%,Seattle,WA,0,0,0,,
Golden Road,Palisades Pineapple,Fruit Beer,4.8%,Los Angeles,CA,0,0,0,Fruit Beer,4.8
Goose Island,Old Man Grumpy,Pale Ale,5.8%,Chicago,IL,0,0,0,,
Goose Island,Midway IPA,IPA,6%,Chicago,IL,0,0,0,,
Goose Island,Summer Hours,Lager,4.5%,Chicago,IL,0,0,0,,
Rockmill,Belgian Pilsner,Pilsner,4.7%,Lancaster,OH,0,0,0,,
Rockmill,Belgian Blonde,Blonde,6.8%,Lancaster,OH,0,0,0,,
Sideswipe,Cloudy with a Chance of Banana,Heffeweizen,4.6%,Columbus,OH,0,0,0,,
Sideswipe,Defaced,Imperial Red,9%,Columbus,OH,0,0,0,,
50 West,Doom Pedal,Witbier,5.5%,Cincinnati,OH,0,0,0,,
50 West,Punch you in the Eye,DIPA,9.2%,Cincinnati,OH,0,0,0,,
50 West,Dune Buggy,Island Smoothie Sour,5.2%,Cincinnati,OH,0,0,0,,
50 West,Staycation Margarita,Gose,4.8%,Cincinnati,OH,0,0,0,,
Actual brewing,Galvanni's,Pale Ale,5.6%,Columbus,OH,0,0,0,,
Actual brewing,Photon,Light Lager,4-Jan%,Columbus,OH,0,0,0,,
Barleys,Blood Thirst Wheat,Am. Wheat,5%,Columbus,OH,0,0,0,,
Barleys,Bourbon Meyer Buckeye Stout,BA Stout,9.1%,Columbus,OH,0,0,0,,
Barleys,Scottish Ale,Scottish Ale,6.6%,Columbus,OH,0,0,0,,
Barleys,Tour de Hops Experimental #8,DIPA,8.7%,Columbus,OH,0,0,0,,
Hofbrauhaus Columbus,Sommer Weizen,Hefe Weizen,5.6%,Columbus,OH,0,0,0,,
Hofbrauhaus Columbus,Hefe Weizen,Hefe Weizen,5.4%,Columbus,OH,0,0,0,,
Little Fish,Passionfruit-Habby Reinheitsgewhat!?,Tart Wheat,4.5%,Athens,OH,0,0,0,,
Little Fish,Woodthrush,Biere de Garde,6%,Athens,OH,0,0,0,,
Little Fish,Smoked Helles,Helles,5.5%,Athens,OH,0,0,0,,
Mad Moon Cidery,Tart Side of the Moon,Cider,6%,Columbus,OH,0,0,0,,
Mad Moon Cidery,Eat a Peach,Cider,6%,Columbus,OH,0,0,0,,
Platform Brewing Co.,Seeing Sounds Hazy,IPA,6.2%,Cleveland,OH,0,0,0,,
Platform Brewing Co.,New Cleveland,Palesner,5%,Cleveland,OH,0,0,0,,
Platform Brewing Co.,Rosellini Peach Rose,Apple Ale,5.5%,Cleveland,OH,0,0,0,,
Platform Brewing Co.,Orange Blossom Gose,Gose,4.2%,Cleveland,OH,0,0,0,,
Platform Brewing Co.,Hyper Retro Lemon Ginger,Saison,4.2%,Cleveland,OH,0,0,0,,
Pretentious,Truculent w/Cucumber & Lime,Sour Blonde,5.2%,Columbus,OH,0,0,0,,
Pretentious,Sybarite w/Cherries,Sour Red Ale,5.6%,Columbus,OH,0,0,0,,
Rhinegeist,Bubbles,Fruit beer,N/A,Cincinnati,OH,0,0,0,,
Rhinegeist,Juicy Truth,Am. IPA,7.2%,Cincinnati,OH,0,0,0,,
Weasel Boy Brewing,Plaid Ferret,Scottish Ale,4.5%,Zanesville,OH,0,0,0,,
Weasel Boy Brewing,Mango Wheat,Friut Beer,4.9%,Zanesville,OH,0,0,0,,
Weasel Boy Brewing,ESB,ESB,4.3%,Zanesville,OH,0,0,0,,
Wolf's Ridge,Daybreak,Blonde Ale,5%,Columbus,OH,0,0,0,,
Wolf's Ridge,Driftwood,Session IPA,4.6%,Columbus,OH,0,0,0,,
Zaftig,Alina,Pale Ale,6%,Columbus,OH,0,0,0,,
Zaftig,Juicy Lucy,West Voact IPA,7%,Columbus,OH,0,0,0,,
Fretboard,Mellowship,India Session Pilsner,4.9%,Cincinnati,OH,0,0,0,,
Fretboard,Vlad Pilsner (Gold Cup Winner),Pilsner,5.3%,Cincinnati,OH,0,0,0,,
Fretboard,Reba,Strawberry Blonde,"5%,3",Cincinnati,1,0,0,,
Warped Wing,Trotwood Lager,Light Lager,4%,Dayton,OH,0,0,0,,
Warped Wing,Gamma Bomb,IPA,7.2%,Dayton,OH,0,0,0,,
Warped Wing,Magic Melon Watermelon,Gose,4.7%,Dayton,OH,0,0,0,,
Pigskin Brewing,,,N/A,Gahanna,OH,0,0,0,,
Pigskin Brewing,,,N/A,Gahanna,OH,0,0,0,,
Grove City,,,N/A,Grove City,OH,0,0,0,,
Grove City,,,N/A,Grove City,OH,0,0,0,,
Guinness,Guinness Stout,,N/A,,,0,0,0,,
Guinness,Guinness Blonde,,N/A,,,0,0,0,Lager - Pale,5
